iter	Passed	Remaining
820	34768	7580
821	34805	7536
822	34846	7494
823	34888	7451
824	34925	7408
825	34962	7364
826	35007	7323
827	35055	7282
828	35106	7241
829	35158	7201
830	35208	7160
831	35253	7118
832	35298	7076
833	35342	7034
834	35381	6991
835	35422	6948
836	35462	6906
837	35502	6863
838	35545	6821
839	35589	6778
840	35630	6736
841	35673	6694
842	35712	6651
843	35752	6608
844	35790	6565
845	35829	6522
846	35870	6479
847	35908	6436
848	35946	6393
849	35993	6351
850	36033	6309
851	36072	6266
852	36118	6224
853	36160	6182
854	36198	6139
855	36244	6097
856	36297	6056
857	36343	6014
858	36384	5972
859	36427	5930
860	36467	5887
861	36505	5844
862	36551	5802
863	36589	5759
864	36633	5717
865	36689	5677
866	36727	5634
867	36765	5591
868	36804	5548
869	36843	5505
870	36881	5462
871	36923	5419
872	36963	5377
873	37004	5334
874	37041	5291
875	37088	5250
876	37128	5207
877	37172	5165
878	37211	5122
879	37252	5079
880	37294	5037
881	37337	4995
882	37380	4953
883	37420	4910
884	37463	4868
885	37504	4825
886	37558	4784
887	37608	4743
888	37654	4701
889	37697	4659
890	37739	4616
891	37781	4574
892	37824	4532
893	37868	4489
894	37908	4447
895	37952	4405
896	37997	4363
897	38037	4320
898	38075	4277
899	38115	4235
900	38157	4192
901	38198	4150
902	38236	4107
903	38276	4064
904	38313	4021
905	38348	3978
906	38388	3936
907	38432	3894
908	38518	3856
909	38585	3816
910	38629	3773
911	38692	3733
912	38739	3691
913	38782	3649
914	38827	3606
915	38874	3564
916	38922	3523
917	38969	3480
918	39017	3439
919	39060	3396
920	39132	3356
921	39182	3314
922	39227	3272
923	39274	3230
924	39321	3188
925	39369	3146
926	39413	3103
927	39448	3060
928	39488	3017
929	39527	2975
930	39566	2932
931	39616	2890
932	39657	2847
933	39701	2805
934	39742	2762
935	39787	2720
936	39834	2678
937	39892	2636
938	39937	2594
939	39983	2552
940	40029	2509
941	40073	2467
942	40119	2425
943	40167	2382
944	40212	2340
945	40255	2297
946	40301	2255
947	40347	2213
948	40395	2170
949	40444	2128
950	40496	2086
951	40547	2044
952	40597	2002
953	40648	1960
954	40690	1917
955	40732	1874
956	40772	1831
957	40809	1789
958	40845	1746
959	40893	1703
960	40939	1661
961	40981	1618
962	41028	1576
963	41078	1534
964	41137	1492
965	41189	1449
966	41231	1407
967	41270	1364
968	41313	1321
969	41360	1279
970	41404	1236
971	41453	1194
972	41495	1151
973	41542	1108
974	41585	1066
975	41633	1023
976	41677	981
977	41718	938
978	41757	895
979	41839	853
980	41888	811
981	41932	768
982	41976	725
983	42021	683
984	42068	640
985	42115	597
986	42159	555
987	42199	512
988	42255	469
989	42298	427
990	42345	384
991	42392	341
992	42452	299
993	42492	256
994	42540	213
995	42589	171
996	42639	128
997	42692	85
998	42740	42
999	42784	0
